timeStamp,elapsed,threadName,success,bytes,Latency,IdleTime,Connect
1474979750771,2004,request threads 1-15,true,400505,2004,0,1
1474979752153,819,request threads 1-14,true,400505,819,0,0
1474979751292,1819,request threads 1-1,true,400509,1818,0,1
1474979751379,1768,request threads 1-2,true,400509,1768,0,0
1474979752013,1172,request threads 1-10,true,400505,1172,0,0
1474979751410,1846,request threads 1-16,true,400505,1846,0,0
1474979751671,1625,request threads 1-7,true,400509,1625,0,1
1474979751450,1916,request threads 1-13,true,400505,1910,0,0
1474979752424,942,request threads 1-6,true,400505,941,0,0
1474979751709,1724,request threads 1-4,true,400511,1724,0,0
1474979752013,1541,request threads 1-3,true,400513,1541,0,0
1474979752239,1567,request threads 1-20,true,400505,1566,0,0
1474979752229,1587,request threads 1-12,true,400507,1587,0,0
1474979752321,1611,request threads 1-18,true,400509,1604,0,0
1474979752084,1848,request threads 1-8,true,400507,1848,0,1
1474979752671,1431,request threads 1-17,true,400505,1431,0,0
1474979752352,1771,request threads 1-11,true,400505,1771,0,0
1474979752731,1494,request threads 1-9,true,400509,1494,0,1
1474979752775,1686,request threads 1-15,true,400507,1686,0,0
1474979752572,1979,request threads 1-19,true,400509,1979,0,0
1474979752572,2012,request threads 1-5,true,400509,2012,0,0
1474979753111,1648,request threads 1-1,true,400507,1648,0,0
1474979753256,1569,request threads 1-16,true,400507,1569,0,0
1474979752972,1875,request threads 1-14,true,400511,1875,0,0
1474979753296,1659,request threads 1-7,true,400509,1659,0,0
1474979753433,1573,request threads 1-4,true,400507,1573,0,0
1474979753148,1932,request threads 1-2,true,400511,1932,0,0
1474979753185,1947,request threads 1-10,true,400505,1947,0,0
1474979753366,1790,request threads 1-6,true,400507,1790,0,0
1474979753366,1859,request threads 1-13,true,400507,1859,0,0
1474979753554,1730,request threads 1-3,true,400507,1730,0,0
1474979754102,1295,request threads 1-17,true,400505,1295,0,0
1474979753806,3192,request threads 1-20,true,400505,2883,0,0
1474979753932,3066,request threads 1-18,true,400505,2776,0,0
1474979754225,2773,request threads 1-9,true,400507,2519,0,0
1474979753816,3182,request threads 1-12,true,400507,2907,0,0
1474979753932,3066,request threads 1-8,true,400507,2834,0,0
1474979754123,2875,request threads 1-11,true,400505,2677,0,0
1474979754584,2414,request threads 1-5,true,400513,2201,0,0
1474979755006,1993,request threads 1-4,true,400507,1834,0,1
1474979754461,2538,request threads 1-15,true,400509,2401,0,0
1474979754825,2174,request threads 1-16,true,400511,1996,0,0
1474979754551,2448,request threads 1-19,true,400505,2327,0,0
1474979755157,1842,request threads 1-6,true,400507,1764,0,0
1474979754848,2151,request threads 1-14,true,400507,2051,0,0
1474979754759,2240,request threads 1-1,true,400511,2182,0,0
1474979754956,2043,request threads 1-7,true,400509,1999,0,0
1474979755080,1919,request threads 1-2,true,400511,1898,0,0
1474979755132,1867,request threads 1-10,true,400507,1866,0,0
1474979755225,1951,request threads 1-13,true,400507,1931,0,0
1474979755284,1892,request threads 1-3,true,400505,1892,0,1
1474979756999,878,request threads 1-1,true,400505,878,0,1
1474979755398,2584,request threads 1-17,true,400507,2584,0,0
1474979756999,1200,request threads 1-16,true,400505,1200,0,1
1474979756998,1409,request threads 1-11,true,400507,1409,0,2
1474979756999,1526,request threads 1-19,true,400509,1526,0,1
1474979756999,1548,request threads 1-14,true,400511,1548,0,1
1474979756999,1637,request threads 1-2,true,400509,1637,0,1
1474979756998,1705,request threads 1-9,true,400507,1705,0,2
1474979756998,1726,request threads 1-8,true,400505,1726,0,2
1474979757177,1600,request threads 1-13,true,400505,1600,0,0
1474979756999,1833,request threads 1-4,true,400505,1833,0,0
1474979756999,1859,request threads 1-7,true,400507,1859,0,1
1474979756998,1878,request threads 1-18,true,400509,1878,0,2
1474979756998,1912,request threads 1-12,true,400509,1911,0,2
1474979756998,1951,request threads 1-20,true,400505,1944,0,2
1474979757177,1772,request threads 1-3,true,400507,1771,0,0
1474979756999,1981,request threads 1-6,true,400507,1975,0,0
1474979756999,1981,request threads 1-15,true,400507,1980,0,1
1474979756999,2018,request threads 1-10,true,400507,2012,0,0
1474979756998,2019,request threads 1-5,true,400505,2019,0,2
1474979757982,1562,request threads 1-17,true,400507,1562,0,0
1474979757878,1674,request threads 1-1,true,400507,1671,0,0
1474979758200,1564,request threads 1-16,true,400507,1563,0,0
1474979758910,980,request threads 1-12,true,400509,980,0,0
1474979758724,1233,request threads 1-8,true,400505,1233,0,0
1474979758637,1477,request threads 1-2,true,400509,1477,0,0
1474979758407,1756,request threads 1-11,true,400505,1750,0,0
1474979758525,1638,request threads 1-19,true,400509,1638,0,0
1474979758876,1340,request threads 1-18,true,400505,1339,0,0
1474979758547,1994,request threads 1-14,true,400507,1993,0,0
1474979758858,1697,request threads 1-7,true,400507,1696,0,0
1474979758777,1823,request threads 1-13,true,400507,1823,0,0
1474979758832,1782,request threads 1-4,true,400505,1782,0,1
1474979758703,1951,request threads 1-9,true,400511,1951,0,0
1474979758949,1890,request threads 1-3,true,400505,1889,0,0
1474979758980,1905,request threads 1-6,true,400509,1898,0,0
1474979758980,1905,request threads 1-15,true,400505,1904,0,0
1474979758949,1993,request threads 1-20,true,400509,1992,0,0
1474979759017,1931,request threads 1-10,true,400507,1930,0,0
1474979759017,1940,request threads 1-5,true,400509,1940,0,0
1474979759544,1659,request threads 1-17,true,400509,1659,0,0
1474979759552,1673,request threads 1-1,true,400507,1672,0,0
1474979759764,1835,request threads 1-16,true,400509,1835,0,0
1474979760216,1492,request threads 1-18,true,400507,1491,0,0
1474979759957,1792,request threads 1-8,true,400509,1791,0,1
1474979760163,1594,request threads 1-19,true,400507,1594,0,1
1474979759891,1907,request threads 1-12,true,400507,1906,0,0
1474979760885,1136,request threads 1-6,true,400509,1136,0,0
1474979760115,1916,request threads 1-2,true,400511,1915,0,0
1474979760614,1511,request threads 1-4,true,400509,1505,0,0
1474979760163,1962,request threads 1-11,true,400505,1962,0,1
1474979760885,1267,request threads 1-15,true,400505,1266,0,0
1474979760541,1743,request threads 1-14,true,400511,1743,0,0
1474979760555,1762,request threads 1-7,true,400509,1762,0,0
1474979760600,1894,request threads 1-13,true,400507,1894,0,0
1474979760839,1717,request threads 1-3,true,400505,1717,0,0
1474979760655,1994,request threads 1-9,true,400507,1994,0,0
1474979760942,1810,request threads 1-20,true,400513,1810,0,0
1474979761202,1558,request threads 1-17,true,400505,1558,0,0
1474979760948,1917,request threads 1-10,true,400505,1911,0,0
1474979760958,1907,request threads 1-5,true,400511,1907,0,0
1474979761707,1278,request threads 1-18,true,400509,1278,0,0
1474979761598,1462,request threads 1-16,true,400509,1461,0,0
1474979761224,1862,request threads 1-1,true,400507,1862,0,0
1474979762020,1394,request threads 1-6,true,400509,1394,0,1
1474979761757,1741,request threads 1-19,true,400507,1741,0,0
1474979762283,1258,request threads 1-14,true,400507,1252,0,0
1474979761748,1793,request threads 1-8,true,400505,1793,0,0
1474979761797,1750,request threads 1-12,true,400505,1750,0,0
1474979762030,1754,request threads 1-2,true,400507,1754,0,0
1474979762751,1148,request threads 1-20,true,400507,1147,0,0
1474979762124,1855,request threads 1-4,true,400509,1850,0,1
1474979762649,1330,request threads 1-9,true,400509,1330,0,0
